latitude,longitude,depth_km,zone
32.699999999999996,133.97000000000037,16.71,1
32.699999999999996,134.08000000000038,16.68,1
32.699999999999996,134.1900000000004,16.33,1
32.699999999999996,134.3000000000004,15.84,1
32.699999999999996,134.41000000000042,15.21,1
32.699999999999996,134.52000000000044,14.57,1
32.699999999999996,134.63000000000045,13.94,1
32.699999999999996,134.74000000000046,13.3,1
32.699999999999996,134.85000000000048,12.67,1
32.699999999999996,134.9600000000005,12.03,1
32.699999999999996,135.0700000000005,11.4,1
32.699999999999996,135.18000000000052,10.76,1
32.699999999999996,135.29000000000053,10.63,1
32.699999999999996,135.40000000000055,11.38,1
32.699999999999996,135.51000000000056,10.64,1
32.78999999999999,132.43000000000018,30.0,1
32.78999999999999,132.5400000000002,28.62,1
32.78999999999999,132.6500000000002,21.11,1
32.78999999999999,132.76000000000022,19.12,1
32.78999999999999,132.87000000000023,17.81,1
32.78999999999999,132.98000000000025,16.69,1
32.78999999999999,133.09000000000026,16.81,1
32.78999999999999,133.20000000000027,16.94,1
32.78999999999999,133.3100000000003,17.06,1
32.78999999999999,133.4200000000003,17.19,1
32.78999999999999,133.5300000000003,17.31,1
32.78999999999999,133.64000000000033,17.44,1
32.78999999999999,133.75000000000034,17.56,1
32.78999999999999,133.86000000000035,17.69,1
32.78999999999999,133.97000000000037,17.81,1
32.78999999999999,134.08000000000038,17.58,1
32.78999999999999,134.1900000000004,17.23,1
32.78999999999999,134.3000000000004,16.7,1
32.78999999999999,134.41000000000042,16.07,1
32.78999999999999,134.52000000000044,15.44,1
32.78999999999999,134.63000000000045,14.8,1
32.78999999999999,134.74000000000046,14.17,1
32.78999999999999,134.85000000000048,13.53,1
32.78999999999999,134.9600000000005,12.9,1
32.78999999999999,135.0700000000005,12.26,1
32.78999999999999,135.18000000000052,12.53,1
32.78999999999999,135.29000000000053,12.95,1
32.78999999999999,135.40000000000055,11.72,1
32.78999999999999,135.51000000000056,12.81,1
32.78999999999999,135.62000000000057,14.31,1
32.78999999999999,135.7300000000006,13.57,1
32.78999999999999,135.8400000000006,12.83,1
32.78999999999999,135.9500000000006,12.09,1
32.78999999999999,136.06000000000063,11.35,1
32.78999999999999,136.17000000000064,10.59,1
32.879999999999995,132.43000000000018,30.0,1
32.879999999999995,132.5400000000002,29.75,1
32.879999999999995,132.6500000000002,22.24,1
32.879999999999995,132.76000000000022,20.79,1
32.879999999999995,132.87000000000023,19.47,1
32.879999999999995,132.98000000000025,18.15,1
32.879999999999995,133.09000000000026,17.92,1
32.879999999999995,133.20000000000027,18.04,1
32.879999999999995,133.3100000000003,18.17,1
32.879999999999995,133.4200000000003,18.29,1
32.879999999999995,133.5300000000003,18.42,1
32.879999999999995,133.64000000000033,18.54,1
32.879999999999995,133.75000000000034,18.67,1
32.879999999999995,133.86000000000035,18.79,1
32.879999999999995,133.97000000000037,18.84,1
32.879999999999995,134.08000000000038,18.49,1
32.879999999999995,134.1900000000004,18.13,1
32.879999999999995,134.3000000000004,17.57,1
32.879999999999995,134.41000000000042,16.93,1
32.879999999999995,134.52000000000044,16.3,1
32.879999999999995,134.63000000000045,15.66,1
32.879999999999995,134.74000000000046,15.03,1
32.879999999999995,134.85000000000048,14.39,1
32.879999999999995,134.9600000000005,13.76,1
32.879999999999995,135.0700000000005,13.74,1
32.879999999999995,135.18000000000052,14.18,1
32.879999999999995,135.29000000000053,14.78,1
32.879999999999995,135.40000000000055,14.37,1
32.879999999999995,135.51000000000056,12.81,1
32.879999999999995,135.62000000000057,13.34,1
32.879999999999995,135.7300000000006,15.3,1
32.879999999999995,135.8400000000006,17.25,1
32.879999999999995,135.9500000000006,16.51,1
32.879999999999995,136.06000000000063,15.77,1
32.879999999999995,136.17000000000064,14.45,1
32.879999999999995,136.28000000000065,12.47,1
32.879999999999995,136.39000000000067,10.49,1
32.97,132.5400000000002,30.0,1
32.97,132.6500000000002,23.77,1
32.97,132.76000000000022,22.45,1
32.97,132.87000000000023,21.13,1
32.97,132.98000000000025,19.82,1
32.97,133.09000000000026,19.02,1
32.97,133.20000000000027,19.15,1
32.97,133.3100000000003,19.27,1
32.97,133.4200000000003,19.4,1
32.97,133.5300000000003,19.52,1
32.97,133.64000000000033,19.65,1
32.97,133.75000000000034,19.77,1
32.97,133.86000000000035,19.9,1
32.97,133.97000000000037,19.74,1
32.97,134.08000000000038,19.39,1
32.97,134.1900000000004,19.04,1
32.97,134.3000000000004,18.43,1
32.97,134.41000000000042,17.8,1
32.97,134.52000000000044,17.16,1
32.97,134.63000000000045,16.53,1
32.97,134.74000000000046,15.89,1
32.97,134.85000000000048,15.26,1
32.97,134.9600000000005,14.85,1
32.97,135.0700000000005,15.62,1
32.97,135.18000000000052,15.84,1
32.97,135.29000000000053,16.46,1
32.97,135.40000000000055,16.56,1
32.97,135.51000000000056,15.46,1
32.97,135.62000000000057,13.91,1
32.97,135.7300000000006,13.87,1
32.97,135.8400000000006,15.83,1
32.97,135.9500000000006,17.79,1
32.97,136.06000000000063,19.75,1
32.97,136.17000000000064,18.32,1
32.97,136.28000000000065,16.34,1
32.97,136.39000000000067,14.35,1
32.97,136.50000000000068,12.37,1
32.97,136.6100000000007,10.39,1
33.059999999999995,132.5400000000002,30.0,1
33.059999999999995,132.6500000000002,25.43,1
33.059999999999995,132.76000000000022,24.11,1
33.059999999999995,132.87000000000023,22.8,1
33.059999999999995,132.98000000000025,21.48,1
33.059999999999995,133.09000000000026,20.17,1
33.059999999999995,133.20000000000027,20.25,1
33.059999999999995,133.3100000000003,20.37,1
33.059999999999995,133.4200000000003,20.5,1
33.059999999999995,133.5300000000003,20.62,1
33.059999999999995,133.64000000000033,20.75,1
33.059999999999995,133.75000000000034,20.88,1
33.059999999999995,133.86000000000035,20.99,1
33.059999999999995,133.97000000000037,20.64,1
33.059999999999995,134.08000000000038,20.29,1
33.059999999999995,134.1900000000004,19.93,1
33.059999999999995,134.3000000000004,19.29,1
